Sample_name X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32
NDAR_INVKWBVX0UU -0.0108957836498774 0.00239834695621567 -0.0169036607642661 -0.00448878895125233 -0.00852008914030756 -0.0154020122786654 0.0121577186683707 0.0126186327750251 -0.00886145102338894 0.00300686919067889 -0.00703346863346513 0.00118747938838275 0.003920843953824 0.0241346270486116 0.0147031730441461 0.0336088860737657 -0.00318156776542054 -0.0103795605978096 0.00922360436510827 0.00925299011117395 -0.0134715530524713 -0.00607832235557726 -0.00170021521292385 0.0159565023102989 -0.00854525491784053 0.00487000268206361 -0.0006687996370691 -0.01173389558659 -0.00351895661211465 -0.0269093996750968 0.00343294485109307 -0.0071472017967974
NDAR_INVXRBWGD7W -0.00454177390467272 -0.0259830011750424 -0.0459062540815762 -0.0287080392344961 0.0175817363054924 0.0170805570433884 -0.0159067728816435 -0.0179789901084668 -0.0101499808398157 -0.00547937231787318 0.00268191257846126 0.00638389832115333 0.0203074448190924 0.00418363582631853 0.0061935492574459 -0.0171107992668304 0.000653277749832294 0.00907538832540731 -0.0251375905536363 -0.00185743945376103 -0.0247348337533433 -0.000914335175091751 0.0113670500381051 -0.00889749602506528 0.0251187482440226 0.0151466960327098 -0.00347290480169102 -0.00851096278301884 -0.0022773371890418 -0.00091679285845956 -0.0255219016627944 0.00628495024892855
NDAR_INVP6U14LUE -0.00997606149231503 -0.00262059603989157 -0.00276541273524054 -0.0023312531674599 0.00384630102254162 -0.00750400163061033 -4.24578200413701e-05 -0.00905510067985832 -0.0102901972374573 0.00701822877985231 -0.00410154631335976 -0.00182780622254645 0.00795095365556581 -0.00165882611397325 0.000563750769848291 0.00624147874764932 -0.0102452420855036 0.00948838094156067 -0.00778922609972589 -0.0052675358650003 -0.00562094227377947 -0.0176291133440007 0.00377990849952018 -0.0095946582820656 0.00916132757674492 0.00029652591411357 0.0057246343931582 -0.000961346146164983 0.00710568246392665 -0.00254807560076073 -0.00229939739418634 -0.00634790361481455
NDAR_INVTFJ2LGCD -0.0115596624762481 0.00248694995909909 0.00257689394472371 0.0127421930977442 0.0125029636322784 -0.0113974096864817 -0.0018996547241986 -0.00550761987777268 -0.0112486019406412 0.00317035194336449 0.019431788459174 -0.0113577076390464 -0.00859777505361201 0.0198724764586732 -0.00286182490623344 0.0149171846662746 0.0286097642618702 -0.00782283992691741 0.0116950523514501 0.0316658988224983 -0.00599383577845834 -0.00390020108973485 -0.0220006436721504 0.0297288999490222 -0.0113064234810749 -0.0274851806807761 0.0121786063452638 0.00565558254712962 0.0196898202886158 0.0099619252838581 -0.00157984473883409 0.0480202971344912
NDAR_INVK8CYP94F -0.00882829576433828 -0.00914403296444518 -0.0184565928154392 -0.00178988857963925 0.00801476931414872 -0.00598575394346397 -0.00716267023186854 0.00395991035231505 0.00327695058022513 0.00353217008377014 -0.0258628426331764 -0.0047315316699007 -0.0128817931487801 -0.0216388840586422 0.00506220346429213 0.0169799838889073 0.0332142631060723 -0.0198305281659782 0.00426192682085654 -0.010704351301751 0.00785140537658401 -0.0219172376271609 -0.00147749398773605 0.00685200260398146 0.0169550449076915 -0.00435836479306046 -0.000703974585122029 0.0312107891075972 0.0174554574762908 -0.0045698773004633 -0.00703588619246491 -0.00114865707308323
NDAR_INVA9CA7RPB -0.00927161438411912 -0.00074677273671267 0.0040972510264164 0.00292527499602534 -0.0111861422677624 -0.0114768390087591 0.0210773361440498 -0.00304745220761036 -0.0111868108761176 -0.00958449487212005 -0.00710561416877836 -0.0100991346149269 0.0108502152736077 0.00571289310193404 0.00479715565627645 -0.0103806133590657 0.0152480036316915 0.0253750109081671 -0.00709694662625123 0.0242212352835397 -0.0201637844371636 -0.00506521286756066 -0.0164713523992369 0.000433635149853132 -0.0146379147629857 -0.0141061344201355 -0.00417215740567247 0.0137837480477264 -0.0130522302847793 -0.00125070090251474 0.00715442140060901 -6.77920227707952e-05
NDAR_INVT1C2GBHB 0.00127477938480358 0.00202525998982864 0.00261682770018736 -0.00256273008468388 -0.00484921059383653 -0.00973718495377313 -0.00274107864321677 -0.00327897989350183 0.00889855610768687 -0.000578534417154447 0.00337323850179153 0.0131216250602865 0.00535130785740966 0.00512876093608561 -0.00781411402078015 0.0003619797258711 0.00395936682894935 -0.00964564084017538 0.0117832680191596 0.0054956118957507 0.0133627886994814 -0.00133700155327405 -0.00352841867192583 0.00846859859122547 0.0097501793330057 0.000486169308438953 0.012014020003799 -0.00865390389077134 0.0137357452868583 0.00437884835684052 0.00936196007628945 0.0102882689311224
NDAR_INVFCJYVJEY 0.024448309307897 -0.00944920689574485 0.00396188990137068 -0.033630310331687 0.0129455965612736 -0.0194815621419478 0.000964856429031978 -0.000289999855813628 -0.00581553147326277 0.0164533460214003 -0.00749905896056255 -0.00581524694100092 0.00298509408989303 0.0179787060566065 -0.0095863910350194 -0.00931111962895982 -0.0207276452278403 -0.00336873608458396 0.000560770426466018 -0.0111355402290343 0.0304894936202993 -0.014833840688146 -0.012605132334809 0.00552779922225665 -0.0193380102634826 -0.0113750510521345 0.0163168825382256 0.00245145530869299 0.00129866136729727 0.00469291614117081 0.0139092336356464 -0.0339621448443787
NDAR_INV1BE1UD48 -0.0160275462704754 0.00426532266974198 -0.00864639907436006 0.0207774277149097 0.00410522627233128 -0.0250308990154683 0.0178308272411205 0.0362994795051632 -0.026586540706078 -0.00267872613343149 0.00286063109864987 0.0278179124382386 -0.00772321180303018 0.0193392106916874 -0.031900496798546 0.0310900587898152 -0.0081736748779894 -0.0152958379935434 0.0126685226609993 0.00902174944246005 -0.00215106511031587 -0.0131429156062945 -0.00498569834148384 0.00579750995032225 0.0123985795580681 -0.0226330193553516 0.0200927352781997 -0.0122162135903446 -0.0246766865077788 -0.0190074027628408 0.00431554001882227 0.0128415234068746
NDAR_INVGKARWYND -0.0115891408762366 -0.00158490285735565 0.00240445393586179 0.00195564566803053 0.00753101110724071 -0.00891689850431202 0.0047071565261324 0.0137523100133471 0.0168919162742555 0.0126915985580036 -0.00271567817756026 0.00564786460149944 -0.0238833430174874 -0.0183703110427482 -0.0116303981050812 -0.0210565817201291 -0.0070056985763385 0.00293746988133112 -0.0118657703799319 0.0106713771893105 0.0107862943348531 -0.0151884320197656 0.00352676693926626 0.00893711884437339 -0.00418901730977108 -0.0069401988780044 0.00192696878324684 -0.0152443555716104 -0.0027346916068663 0.0157242709397567 -0.00105022135299278 -0.0213537901043189
