"HBID","dtiAcquired","dtiSeries35Acquired","dtiSeries35MatchedXnat","dtiSeries35TrXnat","dtiSeries35nVolumesXnat","dtiSeries35InterSliceSpacingXnat","dtiSeries35ProtocolValidationStatus","dtiSeries36Acquired","dtiSeries36MatchedXnat","dtiSeries36nVolumesXnat","dtiSeries36TrXnat","dtiSeries36InterSliceSpacingXnat","dtiSeries64MB2AcquiredXnat","dtiSeries64MB2TrXnat","dtiSeries64MB2nVolumesXnat","dtiSeries36ProtocolValidationStatus","dti64ProtocolValidationStatus","dti64Clipcount","dti64Tsnr","dti64Gmean","dti64Drift","dti64Outmax","dti64Outmean","dti64Outcount","dti64MeanAbsRMS","dti64MeanRelRMS","dti64MaxAbsRMS","dti64MaxRelRMS","dti32Clipcount","dti32Tsnr","dti32Gmean","dti32Drift","dti32Outmax","dti32Outmean","dti32Outcount","dti32MeanAbsRMS","dti32MeanRelRMS","dti32MaxAbsRMS","dti32MaxRelRMS","dti64ProtocolValidationStatusExclude","dti32ProtocolValidationStatusExclude","dti32QAManualScore","dti64QAManualScore","dti64Bedpost","dti64QAManualScoreExclude","dti32QAManualScoreExclude","dti64Exclude","dti32Exclude"
499135165,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.9279,187.933789,0.0164098,479,279.062,0,0.157647,0.0970932,0.291905,0.128579,0,8.170873,187.830377,0.00234645,1364,755.562,4,0.0543485,0.0766046,0.0964772,0.0866409,0,0,2,2,1,0,0,0,0
1407108815,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.872592,143.339589,0.0149637,1609,389.453,3,1.02551,0.4457,1.75527,0.657799,0,7.448517,143.754002,0.0546156,1854,857.438,6,0.462914,0.415141,0.767644,0.621097,0,0,2,2,1,0,0,0,0
199352133,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.56091,147.714691,0.00518481,401,242.266,0,0.295662,0.109469,0.480822,0.216869,0,7.784996,147.750914,-0.0099004,1035,658.906,1,0.144981,0.124629,0.218072,0.216869,0,0,2,2,1,0,0,0,0
1753490809,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.443853,145.413164,0.00187546,2869,420.078,6,0.956468,0.280619,1.21189,0.876172,0,7.60347,145.93759,0.0309851,2630,853.625,6,0.678517,0.597158,1.15938,0.876172,0,0,2,1,1,0,0,0,0
666185463,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.69647,152.056666,0.0104666,492,264.359,0,0.220727,0.201828,0.348963,0.275149,0,7.915536,151.920202,0.00704616,1021,660.875,1,0.161354,0.142016,0.264783,0.219278,0,0,2,2,1,0,0,0,0
379180764,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,15,7.061695,145.848939,0.0114595,644,429.578,0,0.316374,0.19256,0.611805,0.325793,12,7.37203,146.883522,0.000657336,1291,967.875,15,0.114803,0.139665,0.190671,0.153737,0,0,2,2,1,0,0,0,0
2716317602,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,5,6.980772,158.099517,0.0116134,1279,360.203,1,0.832022,0.258261,1.40279,0.424328,1,7.303155,158.220037,0.0064819,1381,856.906,7,0.313341,0.326611,0.631368,0.344567,0,0,2,2,1,0,0,0,0
1343122718,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,1,8.082936,163.449045,0.0121901,488,224.781,0,0.384284,0.173866,0.647119,0.2278,1,8.300859,163.40224,0.00513984,1016,616.062,1,0.164201,0.169616,0.320861,0.171742,0,0,2,2,1,0,0,0,0
25535893,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,20,7.082108,141.553123,0.00436833,1015,356.156,1,0.67064,0.24335,1.05881,0.451559,13,7.344577,141.858896,-0.00704007,1188,826.562,6,0.266952,0.330199,0.590565,0.450107,0,0,2,2,1,0,0,0,0
429918668,0,0,,,,,0,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1
248793696,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.289048,160.772535,0.0113873,1995,412.578,7,0.962799,0.388926,1.4428,0.77317,0,7.46674,160.913421,0.028335,1285,715.688,4,0.495419,0.598188,1.06256,0.772683,0,0,2,2,1,0,0,0,0
2761175367,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.357206,145.776561,0.0211329,1411,438.344,4,0.22995,0.0826754,0.376998,0.124993,0,7.520027,145.720745,0.038632,2276,971.406,11,0.103441,0.0955809,0.186101,0.124222,0,0,2,2,1,0,0,0,0
2969014077,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.165248,159.718456,0.0108231,1892,370.875,6,1.04571,0.446389,1.75269,0.781679,0,7.466217,159.69714,0.0363951,1583,772.531,7,0.531177,0.45977,0.811853,0.781679,0,0,2,1,1,0,0,0,0
4163447383,1,1,0,12300,35,2,0,1,1,36,8100,2,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,1,1,1
561946273,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.694435,167.846018,0.018949,517,288.141,0,0.316532,0.169666,0.563405,0.38012,0,7.942877,167.489211,0.0214925,1129,789.969,6,0.116537,0.135367,0.215154,0.136277,0,0,1,1,1,0,0,0,0
1565165476,0,0,,,,,0,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1
591080700,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,13,8.039624,161.502204,0.0168642,434,225.938,0,0.358428,0.134715,0.617437,0.221369,9,8.302231,161.311383,0.00637907,1233,613.594,1,0.180451,0.187517,0.319983,0.221369,0,0,2,2,1,0,0,0,0
1055786393,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.268977,147.139696,0.00347299,1342,366.906,1,0.528448,0.202252,0.714205,0.513855,0,7.429477,147.779788,-0.00396782,2142,909.5,7,0.409408,0.362249,0.714369,0.513855,0,0,2,2,1,0,0,0,0
361032043,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.844603,153.973605,0.0300053,1882,432.75,6,1.17988,0.363137,1.96852,0.64005,0,7.166991,154.704154,0.0309444,1462,845.312,10,0.449025,0.467149,0.910989,0.498211,0,0,2,2,1,0,0,0,0
735501373,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.538841,153.110869,0.0194361,579,321.375,0,0.377056,0.29155,0.592867,0.814739,0,7.889578,152.897315,0.0165938,1204,831,6,0.175057,0.192004,0.326377,0.198793,0,0,2,2,1,0,0,0,0
857543307,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.175552,156.211731,0.0156359,1821,417.406,3,0.447383,0.283412,0.644335,0.826495,0,7.466877,156.901776,0.023003,1469,914.062,11,0.238225,0.208249,0.38642,0.328254,0,0,2,2,1,0,0,0,0
2303529910,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.530603,176.207937,0.0144494,738,314.031,0,0.514792,0.362571,0.856406,0.533574,0,7.738932,176.058522,0.00891579,1388,819.281,7,0.289273,0.312629,0.556611,0.31405,0,0,2,2,1,0,0,0,0
1117728478,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,28,7.037206,145.168039,0.00651498,1025,359.25,2,0.798148,0.246746,1.15922,0.75423,21,7.226418,145.632371,0.0104818,1085,732.156,4,0.370183,0.48539,0.897733,0.757965,0,0,2,2,1,0,0,0,0
2869603869,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.602317,159.011323,0.0105757,353,254.156,0,0.220388,0.142956,0.41022,0.27063,0,7.796882,158.763282,0.00962422,1074,689.031,2,0.170934,0.166555,0.27063,0.27063,0,0,2,2,1,0,0,0,0
3247526112,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.08539,154.326119,0.0143606,1391,357.75,1,0.606723,0.34389,0.986157,0.588104,0,7.30626,154.18507,0.0522677,2068,839.781,7,0.360289,0.376832,0.738203,0.411,0,0,2,2,1,0,0,0,0
541266969,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.73865,146.060642,0.00490792,1741,367.266,5,0.951761,0.392807,1.60855,0.562711,0,7.073571,146.431715,0.0239984,1491,743.562,4,0.37287,0.384025,0.723046,0.395565,0,0,2,2,1,0,0,0,0
2764477866,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.372346,134.823266,0.00615514,624,312.609,0,1.93227,0.637402,3.6589,1.43243,0,7.247203,135.458319,0.0335291,1371,660.594,2,0.373071,0.379129,0.755457,0.394501,0,0,2,2,1,0,0,0,0
1643413275,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.781828,160.045279,0.00759456,366,261.172,0,0.356165,0.145779,0.68163,0.22001,0,8.073151,160.260283,0.00811195,1067,670.438,1,0.172022,0.159191,0.296055,0.22001,0,0,2,2,1,0,0,0,0
1057552645,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.227096,169.681284,0.00108513,746,249.578,0,0.382216,0.186597,0.542072,0.251967,0,7.433529,170.301124,0.029552,1040,654.281,2,0.217194,0.248339,0.399615,0.251967,0,0,2,2,1,0,0,0,0
204451438,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.238206,141.762503,0.00258277,707,301.797,0,0.537425,0.283214,0.970547,0.460937,0,7.576414,141.791982,-0.0111556,1160,757.875,3,0.257109,0.302272,0.425886,0.425886,0,0,2,2,1,0,0,0,0
1334025864,1,1,1,8100,35,2.000000055,1,1,0,1,8100,2.000000055,0,,,0,0,0,7.884255,145.660976,0.0136245,1869,783.188,5,0.0882036,0.106908,0.181962,0.131167,0,7.884255,145.660976,0.0136245,1869,783.188,5,0.0882036,0.106908,0.181962,0.131167,1,0,0,0,0,1,1,1,1
3154844082,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.392281,148.348899,0.00604373,643,299.109,0,0.584418,0.293957,1.16086,0.522469,0,7.726133,147.643287,-0.000570079,1107,760.25,5,0.138081,0.182826,0.310928,0.262337,0,0,2,2,1,0,0,0,0
1238657731,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.494038,124.379139,0.000977859,738,272.266,0,0.881835,0.352595,1.50128,0.551572,0,6.70873,124.530457,0.00867469,829,623.906,0,0.360719,0.429185,0.711053,0.487267,0,0,2,2,1,0,0,0,0
3738219698,1,1,0,8100,20,2,0,0,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1
1920834566,1,1,1,8100,35,2.000000014,1,1,1,36,8100,2.000000014,0,,,1,1,0,8.161866,181.148954,0.00887087,4260,280.562,1,0.359735,0.134663,0.534061,0.2014,0,8.388351,181.668778,0.033954,5104,750.219,2,0.181941,0.194759,0.355085,0.198781,0,0,1,1,1,0,0,0,0
242582476,0,0,,,,,0,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1
1334786582,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.176956,135.830749,0.0147748,1979,502.938,7,0.985023,0.398447,1.71832,0.625607,0,6.534227,136.040632,0.0234463,2452,1085.78,17,0.330868,0.341867,0.601703,0.390902,0,0,1,1,1,0,0,0,0
1067847783,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.008316,133.879108,0.0115398,445,274.016,0,0.339234,0.187362,0.749796,0.34482,0,7.327478,133.741061,-0.0112595,1044,701.281,1,0.0828385,0.175851,0.126971,0.230158,0,0,2,2,1,0,0,0,0
1016438497,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.446613,160.732878,-0.000751537,579,302.062,0,0.392248,0.22596,0.576861,0.494591,0,7.65559,161.926037,-0.00175722,1107,745.312,1,0.198999,0.225745,0.403675,0.258168,0,0,2,1,1,0,0,0,0
4111955295,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,4,7.234189,147.223985,0.011183,2416,392.016,2,0.401739,0.167324,0.655462,0.253612,2,7.384627,146.663933,0.0144665,3003,925.969,7,0.173524,0.231374,0.30904,0.251214,0,0,1,1,1,0,0,0,0
4253764987,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.332149,150.76841,-0.00209782,398,251.812,0,0.231735,0.240406,0.342948,0.341652,0,7.606477,151.3682,0.0182134,971,670.844,0,0.114727,0.234811,0.204597,0.265025,0,0,2,2,1,0,0,0,0
679577873,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.80494,131.255295,0.00396495,3173,409.609,5,0.605439,0.497961,1.13823,1.00857,0,7.21503,131.601631,0.0266633,1758,713.812,2,0.414196,0.589646,0.774094,0.774094,0,0,2,1,1,0,0,0,0
4285006745,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.608082,143.31863,0.00126202,365,216.922,0,0.270284,0.134005,0.403844,0.28074,0,7.813909,143.393711,-0.00803624,897,583.281,0,0.18113,0.15794,0.28074,0.28074,0,0,2,2,1,0,0,0,0
2330815428,0,0,,,,,0,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1
326545983,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.169563,145.558593,0.00918382,1904,348.328,2,0.531858,0.341249,1.02193,0.633837,0,7.238784,145.761113,0.0293561,2501,962.781,9,0.551842,0.549385,1.02169,0.633837,0,0,2,2,1,0,0,0,0
551055209,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.448536,143.022546,0.0234563,2847,680.609,12,1.73376,0.645028,2.97099,1.17974,0,7.010369,143.336711,0.0639354,2670,1053.81,15,0.664114,0.656949,1.28123,0.71111,0,0,2,2,1,0,0,0,0
2130406069,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.530483,127.137332,0.0215803,7234,493.141,2,0.662317,0.477042,0.994145,0.931621,0,6.904106,133.269181,0.0605813,8208,886.375,3,0.40568,0.577496,0.999129,0.937081,0,0,1,1,1,0,0,0,0
1081203092,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.35012,148.691736,0.0243706,9300,1481.97,14,0.938388,0.71679,1.51157,2.26977,0,6.925326,149.287279,0.009748,7803,1186.88,4,0.398618,0.394331,0.779475,0.416377,0,0,1,1,1,0,0,0,0
2893739545,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.297333,145.974991,0.00450272,740,291.781,0,0.793946,0.311183,1.58473,0.454482,0,7.609385,146.115496,-0.0150959,1499,744.938,5,0.277421,0.290272,0.518275,0.313989,0,0,2,2,1,0,0,0,0
1503668691,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.745537,185.566818,0.00388172,827,251.203,0,0.884285,0.319358,1.59897,0.406028,0,8.092491,185.778695,0.00722416,990,627.5,0,0.360404,0.367907,0.675184,0.406028,0,0,2,2,1,0,0,0,0
1976187572,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.425461,125.685295,0.00318693,901,424.141,0,0.624695,0.290648,0.989949,0.609827,0,6.703034,125.945592,0.0240148,1383,915.156,9,0.234088,0.28429,0.508843,0.375157,0,0,2,2,1,0,0,0,0
2156223539,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.299605,167.577883,0.0153507,3251,412.688,6,1.10458,0.371137,1.63536,0.689712,0,7.55005,167.515551,0.00793833,2710,880.406,8,0.558831,0.497461,0.986781,0.689712,0,0,1,1,1,0,0,0,0
419772428,1,1,1,8100,35,2,1,1,0,12,8100,2,0,,,0,0,0,7.530519,157.995355,0.0328734,7629,1155.12,5,0.95581,0.783173,1.45172,1.41571,0,7.530519,157.995355,0.0328734,7629,1155.12,5,0.95581,0.783173,1.45172,1.41571,1,0,0,0,0,1,1,1,1
731302768,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.656252,148.636873,0.00262702,581,320.562,0,0.221741,0.159169,0.33329,0.262276,0,7.837634,148.693647,0.000670134,1236,823.219,6,0.151214,0.209076,0.262276,0.262276,0,0,2,2,1,0,0,0,0
638938933,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.732943,148.196955,0.00384955,1582,367.656,6,1.54781,0.468387,2.45879,1.19095,0,7.200524,148.949861,0.0473078,1502,728.812,6,0.511363,0.516217,1.00853,0.525558,0,0,2,2,1,0,0,0,0
42090739,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.27429,155.17961,0.0102642,1083,324.578,1,0.771693,0.246453,1.26645,0.357494,0,7.539293,155.046825,0.0145815,1419,808.156,6,0.327364,0.341026,0.657139,0.357099,0,0,2,2,1,0,0,0,0
799634514,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.527276,137.30668,0.0112576,561,297.219,0,1.17686,0.754635,2.13775,2.46387,0,7.41709,138.988406,0.00760478,1942,765.469,6,0.27477,0.332673,0.577381,0.418417,0,0,2,2,1,0,0,0,0
3763064658,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.92815,143.606987,0.00650995,4803,620.141,11,1.98328,0.529059,2.99278,1.12175,1,7.067945,142.077859,0.0206106,2542,749.719,6,0.925022,0.977073,1.94226,1.12134,0,0,1,1,1,0,0,0,0
2005242503,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,16,7.501042,156.908569,0.0113714,517,342.5,0,0.142531,0.174209,0.228482,0.314501,0,7.703495,157.590823,0.0296318,1286,813.844,5,0.117685,0.262425,0.183351,0.341498,0,0,1,1,1,0,0,0,0
