"HBID","dti_dtitk_jhutract_tr_atr_l","dti_dtitk_jhutract_tr_atr_r","dti_dtitk_jhutract_tr_cst_l","dti_dtitk_jhutract_tr_cst_r","dti_dtitk_jhutract_tr_cgc_l","dti_dtitk_jhutract_tr_cgc_r","dti_dtitk_jhutract_tr_cgh_l","dti_dtitk_jhutract_tr_cgh_r","dti_dtitk_jhutract_tr_forceps_mjor","dti_dtitk_jhutract_tr_forceps_minor","dti_dtitk_jhutract_tr_ifo_l","dti_dtitk_jhutract_tr_ifo_r","dti_dtitk_jhutract_tr_ilf_l","dti_dtitk_jhutract_tr_ilf_r","dti_dtitk_jhutract_tr_slf_l","dti_dtitk_jhutract_tr_slf_r","dti_dtitk_jhutract_tr_uf_l","dti_dtitk_jhutract_tr_uf_r"
1764595898,1.94888,2.06992,1.91331,1.8955,2.04103,2.04234,2.02187,1.91929,2.06314,2.28018,2.14155,2.13632,2.02793,2.03246,2.11526,2.00282,2.23875,2.37549
567224934,2.13051,2.16735,1.89151,1.92047,1.9854,1.95339,2.26314,2.02693,2.23065,2.23304,2.1616,2.10496,2.10838,1.97726,2.11937,1.9834,2.22473,2.26643
3552268730,2.2871,2.27025,2.10852,2.07133,2.13787,2.16851,2.28232,2.12615,2.6199,2.32486,2.27254,2.2206,2.22612,2.10533,2.24715,2.21266,2.31206,2.41407
423510458,2.08134,2.16507,1.97321,1.95359,2.02475,2.02384,2.07334,1.91787,2.24068,2.19832,2.14169,2.07572,2.07173,1.96352,2.10786,2.0353,2.17928,2.19103
3971741950,,,,,,,,,,,,,,,,,,
4209635710,2.01648,2.12765,1.90904,1.93538,1.961,2.04428,2.08166,1.98595,2.30536,2.17608,2.07453,2.04988,2.00955,1.91119,2.0036,1.92187,2.0871,2.20543
3183721577,2.142,2.24056,2.03302,2.02296,2.12048,2.06382,2.40506,2.17345,2.29406,2.19924,2.17686,2.1795,2.14193,2.09156,2.18498,2.1426,2.29685,2.28117
1798312651,2.03443,2.13824,2.0246,1.99571,1.97445,2.03046,2.26847,1.9625,2.73345,2.21787,2.12861,2.11084,2.06383,2.01089,2.12107,2.01647,2.20643,2.29841
2582662627,2.13037,2.21133,2.04765,2.08182,2.09956,2.08073,2.10943,2.0396,2.50436,2.24191,2.18949,2.17446,2.16311,2.11947,2.13713,2.08139,2.34952,2.3287
789242708,2.01604,2.11024,1.9574,1.93884,2.01097,2.03074,2.1647,2.08356,2.08583,2.1291,2.10098,2.11995,2.09464,2.06223,2.09614,2.00707,2.2079,2.27129
737209773,2.14749,2.24064,2.03422,2.01345,2.06538,2.05395,2.23959,2.17511,3.31842,2.22701,2.15313,2.18861,2.12534,2.07415,2.13305,2.0438,2.14425,2.32704
2553165637,2.14155,2.28604,2.0813,2.08713,2.0122,2.02345,2.1022,2.00679,2.24701,2.15222,2.14095,2.15692,2.11936,2.068,2.16086,2.05122,2.25556,2.30422
3454988663,2.08623,2.28433,1.96677,2.02966,2.00452,2.02048,2.34589,2.23281,2.39349,2.16893,2.17654,2.20962,2.17488,2.13496,2.09755,2.04167,2.15342,2.30273
4231086927,2.08963,2.20934,1.97572,1.97583,2.13041,2.18955,2.27922,2.1079,2.3554,2.24882,2.22746,2.17514,2.24796,2.17895,2.14132,2.10297,2.39651,2.37473
3860581481,2.09709,2.17558,2.01331,1.99974,2.09658,2.05312,2.42133,2.24991,2.48878,2.26798,2.18303,2.16854,2.18591,2.05925,2.14158,2.03937,2.31809,2.2826
959456866,2.06935,2.34951,1.96545,1.95412,2.01736,2.11453,2.27012,2.10564,2.45104,2.04291,2.19412,2.26906,2.21015,2.19108,2.08363,2.08897,2.18463,2.33631
354512339,2.13298,2.16798,2.02999,2.07333,2.05758,2.03798,2.1416,2.12672,2.76029,2.24611,2.23373,2.16635,2.15448,2.0314,2.14502,2.0701,2.33152,2.33838
3938050789,2.12398,2.20143,2.02621,1.97661,2.04066,2.04063,2.32081,2.11621,2.21899,2.21765,2.18027,2.14812,2.22728,2.08295,2.1388,1.99989,2.29233,2.30564
1137322737,2.22244,2.28553,2.05046,2.0314,2.30729,2.34602,2.33371,2.18186,2.38847,2.41769,2.3313,2.32623,2.37752,2.27573,2.32301,2.2102,2.4975,2.45165
1573185083,2.15266,2.25709,1.94388,1.98416,2.16914,2.20877,2.27416,2.08516,2.65279,2.26746,2.26331,2.24632,2.24101,2.14397,2.2068,2.13495,2.24956,2.32886
1534450579,2.04257,2.23158,1.89454,1.91979,1.87398,1.89485,2.05506,1.99676,2.57949,2.23201,2.10988,2.16176,2.03366,1.97059,1.99448,1.90693,2.07216,2.20686
2730766942,2.21652,2.28013,1.99366,1.98856,2.05367,2.07294,2.05788,2.12981,2.46164,2.29604,2.31141,2.25623,2.21127,2.17003,2.15875,2.08691,2.26428,2.31369
1082549547,2.18517,2.2127,1.99536,1.98224,2.18067,2.22056,2.26744,2.17392,2.19579,2.3023,2.22581,2.19066,2.20147,2.1287,2.12295,2.16183,2.35535,2.31844
1486478124,2.18921,2.30632,2.00622,2.09239,2.15238,2.12566,2.19588,2.04558,2.69343,2.30426,2.23776,2.21953,2.19495,2.07578,2.15095,2.11803,2.24484,2.35821
3388790720,2.11789,2.17265,1.9502,1.95808,2.09084,2.09754,2.07623,2.02962,2.14518,2.23031,2.08833,2.12788,2.0679,2.05287,2.11358,2.06443,2.1962,2.20535
2861074432,2.19832,2.16968,1.97646,2.05707,2.13589,2.12013,2.39937,2.32538,2.13048,2.24558,2.22783,2.22958,2.17659,2.09742,2.11742,2.16336,2.30742,2.35796
2260339113,1.94454,1.9835,1.83693,1.84657,1.96331,2.00466,1.93227,1.85829,2.13029,2.06594,2.04312,1.9372,1.96028,1.87304,2.03939,1.93386,2.0452,1.94961
316083542,2.09937,2.1402,1.92141,1.93268,2.04733,2.05405,2.14959,2.09031,2.28524,2.21976,2.16519,2.13119,2.09063,1.99156,2.0823,2.02399,2.12476,2.26377
3775337602,2.09131,2.19535,2.0027,1.92996,1.99715,2.07696,2.36808,2.24844,2.55579,2.19063,2.17135,2.16993,2.11417,2.0723,2.15763,2.00969,2.20984,2.26721
1531579702,2.13422,2.16625,1.99153,1.96004,2.06906,2.0338,2.19266,2.0845,2.24573,2.20678,2.2196,2.20834,2.13905,2.11938,2.13064,1.99798,2.1818,2.20787
765448154,,,,,,,,,,,,,,,,,,
3588536075,2.1567,2.15263,2.05888,2.03544,2.0273,2.08962,2.33212,2.1434,2.48372,2.28526,2.20925,2.21587,2.13288,2.16208,2.18558,2.10817,2.20928,2.33845
2287331385,,,,,,,,,,,,,,,,,,
20654339,2.12165,2.23366,2.01323,1.99593,2.07776,2.11545,2.37599,2.11203,2.46125,2.26731,2.21125,2.21771,2.17332,2.13118,2.17788,2.11987,2.33186,2.31747
3376556122,2.14847,2.99285,1.94304,1.94316,2.09649,2.95462,2.69523,2.26774,2.43681,3.01437,2.50163,2.42829,2.18545,2.30432,2.20879,2.15429,1.98853,2.5104
613521073,2.18798,2.24462,2.03588,1.99002,2.14543,2.10206,2.52582,2.2658,2.37442,2.3577,2.27327,2.22066,2.27309,2.07711,2.22054,2.12238,2.36013,2.30602
2102356124,2.13596,2.22822,1.97129,2.04978,2.0603,2.10514,2.15877,2.13103,2.73392,2.25618,2.23305,2.20568,2.18544,2.11162,2.14023,2.02051,2.34542,2.41595
481393348,2.09883,2.1811,2.05599,2.01843,2.03259,2.02549,2.15977,2.17333,2.31963,2.19054,2.19202,2.21184,2.15661,2.083,2.18467,2.05078,2.24994,2.22705
2532217587,,,,,,,,,,,,,,,,,,
2305333358,,,,,,,,,,,,,,,,,,
1418080678,2.16585,2.30129,1.9757,2.01653,2.13926,2.16099,2.09332,2.10012,2.32161,2.37786,2.25203,2.22288,2.20086,2.09375,2.20937,2.07952,2.29518,2.35611
2755772031,2.15513,2.18365,2.06772,2.08862,2.19429,2.269,2.25067,2.20463,2.17008,2.32159,2.23846,2.23289,2.20163,2.15101,2.12326,2.21293,2.35476,2.49948
1890085688,2.10855,2.23211,1.95558,1.95953,1.96507,1.9345,2.3369,2.04092,2.63659,2.10974,2.18379,2.18034,2.08221,1.99917,2.06897,2.02974,2.25282,2.23225
1034657997,2.33224,2.40098,1.95059,2.00975,1.99299,2.08697,2.2269,2.10285,3.37252,2.25095,2.23406,2.13505,2.07309,2.01457,2.01747,1.97812,2.25413,2.27707
1897596912,2.10197,2.16311,2.03825,2.00204,2.05035,1.97354,2.34052,2.19866,2.26632,2.23042,2.15233,2.13156,2.08806,2.05966,2.07599,1.99834,2.22775,2.2277
2363602447,2.10567,2.21599,2.06162,2.04063,2.07746,2.1013,2.29832,2.08993,2.25878,2.26151,2.19776,2.16744,2.14477,2.08065,2.20362,2.11657,2.21749,2.36643
1686994200,2.15153,2.22615,2.02697,2.00114,2.1222,2.13895,2.28659,2.12648,2.24214,2.28219,2.25899,2.20211,2.19898,2.13677,2.15447,2.08132,2.28839,2.30647
1946601524,2.08826,2.18819,1.97398,1.99806,1.88152,1.88338,2.07147,1.96806,2.57647,2.16362,2.03653,2.06594,1.97672,1.8563,2.00568,1.93751,2.1283,2.23583
3046377301,2.13554,2.36823,1.94239,1.95861,2.03372,2.11097,2.10599,2.00485,2.57996,2.19807,2.14682,2.11237,2.07146,1.98705,2.10316,1.95016,2.22436,2.18343
2370146678,2.06896,2.1605,1.98829,2.0074,2.03319,2.04675,2.09089,2.10561,2.35388,2.22003,2.10211,2.09976,1.9986,1.96007,2.05107,1.97565,2.2028,2.38736
4266934296,2.08721,2.18443,1.89195,1.89801,2.07185,2.06508,2.20341,2.05398,2.41703,2.33336,2.19596,2.17725,2.09415,2.07308,2.1663,2.04449,2.22912,2.36059
56391123,2.10448,2.19104,2.06512,2.03176,2.04698,2.05039,2.28648,2.28898,2.21003,2.2151,2.18738,2.13821,2.07007,1.99496,2.13411,2.03199,2.26145,2.42157
902707040,2.11558,2.19728,2.03177,2.01951,2.02361,2.10889,2.26312,2.08129,2.48982,2.18528,2.18293,2.18115,2.13825,2.05971,2.12075,2.01113,2.34685,2.39723
3182716794,2.19786,2.24535,1.97995,1.98906,2.09776,2.07391,2.13789,2.29308,2.27721,2.3204,2.20197,2.20195,2.06972,1.99187,2.08575,2.04566,2.2079,2.36397
2957633895,2.11779,2.20905,1.97364,1.9781,2.11989,2.15825,2.19843,2.13499,2.28246,2.21367,2.20392,2.18181,2.16565,2.10415,2.08472,2.12961,2.22519,2.24171
3744215128,2.38946,2.53509,1.95665,1.97364,2.05521,2.0378,2.20331,2.08696,2.6984,2.27648,2.13609,2.13868,2.03254,2.0136,2.14626,2.01143,2.20002,2.29359
176635263,2.11915,2.24418,1.9427,1.99936,2.00571,2.01273,2.22626,1.98438,2.68507,2.25581,2.20716,2.19244,2.10372,2.02403,2.16516,2.05627,2.26732,2.31723
