"HBID","dti_jlf_rd_L_Limbic_Lobe_WM","dti_jlf_rd_L_Insular_Lobe_WM","dti_jlf_rd_L_Frontal_Lobe_WM","dti_jlf_rd_L_Parietal_Lobe_WM","dti_jlf_rd_L_Occipital_Lobe_WM","dti_jlf_rd_L_Temporal_Lobe_WM","dti_jlf_rd_R_Limbic_Lobe_WM","dti_jlf_rd_R_Insular_Lobe_WM","dti_jlf_rd_R_Frontal_Lobe_WM","dti_jlf_rd_R_Parietal_Lobe_WM","dti_jlf_rd_R_Occipital_Lobe_WM","dti_jlf_rd_R_Temporal_Lobe_WM"
354512339,0.61661,0.55528,0.65334,0.70823,0.75369,0.6316,0.62687,0.56242,0.66034,0.71278,0.75677,0.64904
3938050789,0.56216,0.54534,0.62123,0.62878,0.65536,0.60214,0.56692,0.55154,0.61612,0.63866,0.63853,0.64067
1137322737,0.62994,0.59624,0.6935,0.70007,0.73619,0.65758,0.63686,0.6014,0.67986,0.72611,0.72343,0.67172
1573185083,0.61457,0.55623,0.62242,0.66589,0.69324,0.63104,0.60929,0.56294,0.63615,0.66574,0.67117,0.64258
1534450579,0.61753,0.50832,0.60397,0.62223,0.6971,0.57451,0.5667,0.496,0.5987,0.61144,0.66854,0.57637
2730766942,0.58257,0.57171,0.63363,0.63815,0.642,0.6414,0.59315,0.58703,0.64316,0.65213,0.63874,0.63391
1082549547,0.60345,0.55864,0.67764,0.67101,0.63127,0.63832,0.60193,0.56821,0.69253,0.66941,0.63018,0.65055
1486478124,0.62674,0.56326,0.67876,0.6866,0.69729,0.62522,0.63112,0.56168,0.67887,0.70085,0.69141,0.6486
3388790720,0.55775,0.55069,0.63676,0.64645,0.63899,0.5968,0.56059,0.52506,0.62226,0.64373,0.60826,0.59886
2861074432,0.56163,0.55244,0.65022,0.65392,0.63784,0.61264,0.58135,0.56178,0.64163,0.64306,0.62834,0.61566
2260339113,0.51075,0.48585,0.56613,0.5725,0.60441,0.53452,0.50676,0.51346,0.59433,0.58274,0.59863,0.55221
316083542,0.56343,0.53687,0.61396,0.62138,0.67016,0.59076,0.57349,0.53678,0.61685,0.64025,0.68857,0.60089
3775337602,0.57186,0.56207,0.64143,0.68076,0.69012,0.62737,0.57513,0.56243,0.63873,0.66061,0.74416,0.63026
1531579702,0.56831,0.54139,0.61793,0.62617,0.68051,0.61327,0.57288,0.55926,0.62207,0.64016,0.6824,0.61092
765448154,,,,,,,,,,,,
3588536075,0.61071,0.55421,0.6663,0.65824,0.70229,0.6211,0.62929,0.56362,0.67762,0.69214,0.70597,0.64462
2287331385,,,,,,,,,,,,
20654339,0.59444,0.54782,0.63904,0.6519,0.68998,0.61437,0.60071,0.55874,0.64177,0.65489,0.67964,0.63261
3376556122,0.67678,0.62103,0.71098,0.66836,0.65263,0.69154,0.5912,0.64586,0.68801,0.64074,0.6603,0.64428
613521073,0.61453,0.56387,0.70794,0.70584,0.74088,0.63976,0.63156,0.56571,0.71252,0.73921,0.73771,0.68722
2102356124,0.59087,0.55513,0.64343,0.68262,0.68515,0.61489,0.59767,0.56134,0.64088,0.68507,0.67171,0.62526
481393348,0.57757,0.53596,0.61456,0.63345,0.67457,0.60489,0.5951,0.55252,0.6126,0.66361,0.64993,0.61862
2532217587,,,,,,,,,,,,
2305333358,,,,,,,,,,,,
1418080678,0.62232,0.55508,0.67331,0.68522,0.753,0.63361,0.60528,0.55089,0.6836,0.69784,0.73752,0.66874
2755772031,0.58719,0.59186,0.67696,0.66896,0.66758,0.64523,0.58839,0.57725,0.67135,0.66222,0.65341,0.63279
1890085688,0.59006,0.54481,0.60762,0.62181,0.69135,0.5977,0.61626,0.5522,0.61481,0.65134,0.67679,0.60564
1034657997,0.65817,0.5542,0.63117,0.63572,0.66609,0.5901,0.70901,0.5805,0.63801,0.66425,0.77025,0.62257
1897596912,0.56817,0.53841,0.60398,0.60239,0.64911,0.57888,0.57475,0.54251,0.59683,0.62342,0.64082,0.60059
2363602447,0.60789,0.55497,0.65224,0.66523,0.66659,0.61009,0.62171,0.56484,0.649,0.68773,0.68456,0.62271
1686994200,0.59642,0.55555,0.64052,0.64293,0.67352,0.61644,0.58984,0.56779,0.64924,0.66014,0.67064,0.63097
1946601524,0.55699,0.51424,0.60077,0.581,0.62812,0.54606,0.56125,0.51735,0.58888,0.59531,0.63273,0.55893
3046377301,0.6311,0.54118,0.61777,0.60536,0.66264,0.58573,0.61668,0.55422,0.59992,0.63713,0.64466,0.60235
2370146678,0.57443,0.53781,0.61797,0.6465,0.67107,0.60248,0.57089,0.52916,0.61955,0.64625,0.64982,0.59906
4266934296,0.60438,0.55486,0.63338,0.63959,0.67496,0.61917,0.58401,0.55668,0.63307,0.65483,0.66531,0.61517
56391123,0.56729,0.55158,0.6291,0.65073,0.68708,0.58218,0.55933,0.54201,0.62771,0.67168,0.66902,0.61025
902707040,0.55636,0.54801,0.62528,0.64888,0.6877,0.60255,0.56446,0.53947,0.61251,0.6471,0.67861,0.62901
3182716794,0.59011,0.57213,0.6354,0.64538,0.64059,0.59497,0.59407,0.56546,0.6269,0.61982,0.61727,0.60381
2957633895,0.58427,0.54981,0.63126,0.64792,0.66868,0.63265,0.59254,0.54247,0.60826,0.61376,0.66068,0.62953
3744215128,0.66347,0.57839,0.64379,0.65321,0.68594,0.61189,0.69157,0.59053,0.64424,0.69257,0.74574,0.63619
176635263,0.58989,0.55767,0.64928,0.67606,0.71618,0.59394,0.6062,0.54825,0.63194,0.67029,0.69536,0.62007
3944436839,0.59313,0.58837,0.64375,0.64315,0.67189,0.61169,0.60222,0.57292,0.65699,0.64599,0.65071,0.62848
1046150284,0.57956,0.56297,0.63551,0.645,0.67159,0.60819,0.57199,0.56262,0.62616,0.66187,0.66157,0.6273
969429067,0.57519,0.5216,0.59283,0.62374,0.67621,0.59388,0.59354,0.5354,0.6021,0.65094,0.62842,0.59877
3885303335,0.64921,0.56778,0.65191,0.6476,0.73852,0.63672,0.62354,0.57168,0.65039,0.67423,0.72065,0.63602
3514026778,,,,,,,,,,,,
2571584363,,,,,,,,,,,,
164340311,0.55024,0.53206,0.60118,0.64188,0.64904,0.58716,0.55704,0.52906,0.61301,0.65762,0.63885,0.61339
1510661513,0.54627,0.5076,0.59889,0.60519,0.66155,0.57474,0.55644,0.52547,0.60296,0.62628,0.65862,0.59463
387676254,0.65241,0.52691,0.62193,0.61343,0.67084,0.56623,0.67215,0.53403,0.61307,0.65607,0.79391,0.59168
2637186896,0.56991,0.54783,0.60501,0.61695,0.68718,0.59175,0.56347,0.55152,0.60918,0.64609,0.6726,0.60275
2941595782,0.57473,0.54779,0.62647,0.65473,0.67731,0.60162,0.58174,0.54396,0.632,0.67395,0.67484,0.60374
4052704078,0.5759,0.565,0.67151,0.65322,0.68619,0.61295,0.57527,0.54809,0.66101,0.65218,0.68421,0.62427
2144166108,0.63102,0.56852,0.63614,0.69376,0.66147,0.67058,0.64336,0.56925,0.6396,0.74185,0.69894,0.6346
3632718209,0.60672,0.53182,0.62836,0.63941,0.7246,0.62055,0.60843,0.54209,0.63562,0.65141,0.70024,0.60881
2436560104,0.58945,0.56673,0.6292,0.64328,0.67587,0.61713,0.59091,0.5605,0.62383,0.64385,0.66621,0.62652
209477679,0.60762,0.5595,0.64994,0.66622,0.67995,0.62998,0.60053,0.56646,0.6675,0.69127,0.68055,0.64742
880826039,0.59277,0.57493,0.65136,0.66363,0.69311,0.63343,0.60345,0.5996,0.6604,0.66728,0.69816,0.64022
3342436384,0.59471,0.57641,0.65836,0.65588,0.67363,0.62795,0.60447,0.58914,0.65435,0.68529,0.65344,0.65535
3747244531,0.56757,0.53015,0.60353,0.63421,0.65167,0.57795,0.57772,0.53957,0.59328,0.64118,0.66162,0.60119
1674892806,0.58775,0.55096,0.63276,0.63558,0.66252,0.60711,0.58707,0.55805,0.63617,0.66307,0.67829,0.62772
2023048953,,,,,,,,,,,,
547350619,0.59016,0.52647,0.56553,0.60239,0.63855,0.57809,0.5494,0.52812,0.57617,0.62227,0.61271,0.58919
2824974022,0.58313,0.52694,0.59614,0.62182,0.66508,0.59827,0.58978,0.53656,0.59313,0.64848,0.66563,0.60346
1889365920,0.52774,0.52119,0.5782,0.5615,0.59952,0.55924,0.54546,0.50218,0.56346,0.58679,0.60764,0.56245
3589036789,0.59666,0.55258,0.64801,0.66325,0.7077,0.62637,0.61022,0.56133,0.65037,0.6718,0.70439,0.64031
499135165,0.93053,0.59839,0.66173,0.70695,0.7473,0.70137,1.0735,0.60896,0.67978,0.76507,0.8604,0.72384
1407108815,0.57426,0.52738,0.60753,0.6123,0.63647,0.58746,0.57719,0.54107,0.61078,0.62365,0.63907,0.59875
199352133,0.57546,0.56309,0.63655,0.63028,0.64489,0.63278,0.58656,0.56335,0.63406,0.64458,0.66002,0.63004
1753490809,0.60175,0.55886,0.6746,0.65979,0.7013,0.62837,0.60203,0.56569,0.67539,0.65968,0.66652,0.64015
666185463,0.58074,0.55889,0.66404,0.65423,0.68613,0.61871,0.59276,0.56157,0.66601,0.65963,0.68237,0.62939
379180764,0.57816,0.54485,0.62565,0.67393,0.68351,0.59986,0.57153,0.54357,0.60757,0.6913,0.6979,0.59743
2716317602,0.5696,0.5512,0.62147,0.6113,0.65427,0.60066,0.58825,0.53704,0.62271,0.64245,0.64635,0.60478
1343122718,0.55816,0.53882,0.63497,0.62563,0.65246,0.61324,0.56324,0.54598,0.63734,0.63373,0.64568,0.61892
25535893,0.61859,0.5616,0.65381,0.6625,0.68237,0.62205,0.62492,0.56727,0.64186,0.69058,0.67064,0.62856
429918668,,,,,,,,,,,,
248793696,0.56275,0.54946,0.61245,0.61331,0.65306,0.60051,0.56248,0.54711,0.61536,0.62492,0.65317,0.60491
2761175367,0.57057,0.51493,0.59184,0.62286,0.65732,0.57904,0.59512,0.50985,0.59144,0.62137,0.65146,0.59391
2969014077,0.54823,0.54268,0.63073,0.60444,0.65491,0.59175,0.54591,0.54115,0.6264,0.62171,0.6531,0.60302
4163447383,,,,,,,,,,,,
561946273,0.62784,0.51356,0.57483,0.58508,0.61353,0.55935,0.58814,0.51791,0.5793,0.59728,0.61458,0.59027
1565165476,,,,,,,,,,,,
591080700,0.59901,0.55998,0.67742,0.67046,0.72805,0.61157,0.6019,0.54986,0.66583,0.67009,0.71234,0.6276
1055786393,0.62298,0.58437,0.6345,0.67034,0.69331,0.62848,0.62205,0.58696,0.64014,0.67692,0.68496,0.62976
361032043,0.55366,0.55598,0.59162,0.61525,0.6395,0.59591,0.55573,0.53565,0.58865,0.63033,0.65251,0.60268
735501373,0.56579,0.5563,0.64208,0.6328,0.6684,0.5993,0.5852,0.56751,0.64592,0.64229,0.66781,0.61777
857543307,0.61998,0.57662,0.63196,0.64886,0.6345,0.61504,0.60544,0.57788,0.64473,0.65586,0.6226,0.61883
2303529910,0.62465,0.56643,0.61451,0.63353,0.67477,0.58697,0.57764,0.55965,0.6005,0.63084,0.62158,0.59099
