"HBID","X","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","rh_bankssts_area","rh_caudalanteriorcingulate_area","rh_caudalmiddlefrontal_area","rh_cuneus_area","rh_entorhinal_area","rh_fusiform_area","rh_inferiorparietal_area","rh_inferiortemporal_area","rh_isthmuscingulate_area","rh_lateraloccipital_area","rh_lateralorbitofrontal_area","rh_lingual_area","rh_medialorbitofrontal_area","rh_middletemporal_area","rh_parahippocampal_area","rh_paracentral_area","rh_parsopercularis_area","rh_parsorbitalis_area","rh_parstriangularis_area","rh_pericalcarine_area","rh_postcentral_area","rh_posteriorcingulate_area","rh_precentral_area","rh_precuneus_area","rh_rostralanteriorcingulate_area","rh_rostralmiddlefrontal_area","rh_superiorfrontal_area","rh_superiorparietal_area","rh_superiortemporal_area","rh_supramarginal_area","rh_frontalpole_area","rh_temporalpole_area","rh_transversetemporal_area","rh_insula_area","rh_WhiteSurfArea_area"
2991471107,790,1032,594,2322,1459,388,3644,4641,3213,960,4553,2923,3311,1677,2714,875,1379,1806,627,1502,1324,4617,966,4525,4271,930,5663,7348,5903,4474,4512,230,492,529,2783,88185.4,956,905,2159,1367,382,3072,4967,3373,1073,4279,2755,3017,1945,3610,657,1812,1307,721,1781,1506,4195,1326,5218,4574,636,5659,7146,6202,3936,4436,268,390,496,2463,88591.2
2288644243,791,1189,487,1685,1318,362,3122,4810,3054,961,4141,2394,2664,1677,2842,746,1178,1586,594,1221,1185,4005,991,4550,2967,584,5074,7345,4373,3585,3653,173,493,370,1956,77337,907,540,1927,1343,273,2517,5208,3006,808,3823,2391,2693,1457,3793,623,1383,1372,743,1332,1303,3836,971,4741,3205,368,5673,6539,4428,3473,3013,254,417,302,1946,76605.7
4283335473,794,1055,656,2642,1582,398,3081,5059,3303,1075,4660,2652,2958,1764,2938,682,1226,1323,671,1198,1333,4039,1006,5166,3762,834,6171,7288,5395,4045,4387,192,504,520,2561,86128,1006,1077,1981,1557,327,3615,5437,3144,1022,4478,2905,2991,1995,3336,779,1380,1124,852,1475,1466,4056,1044,4877,3932,753,6586,7269,5156,3676,3635,311,398,341,2387,86369.5
867434602,795,1196,891,2727,1573,514,3543,5537,3882,1128,5983,3168,3513,1707,3742,750,1475,2266,777,1566,1468,4291,1314,5699,4189,908,7283,8162,6312,4504,4551,193,537,459,2908,98716.2,743,980,2847,1693,404,4210,5394,3240,1005,5741,3218,3601,2214,3681,866,1773,1658,823,1696,1719,4549,1250,5540,4495,745,7326,7842,6223,4051,4996,352,494,385,2447,98202.5
1642960625,796,1256,766,2955,1488,373,3182,5467,3302,856,4511,2789,3463,1765,3265,781,1699,1382,518,1414,1597,4569,1305,4898,3446,1008,6482,8012,5404,4108,3631,154,530,418,2368,89157.9,974,1064,2621,1707,329,3697,6074,3160,867,4144,2683,3466,1805,3431,701,1804,1318,678,1861,1817,4016,1535,4579,3670,952,6347,7244,5134,3972,4030,225,465,373,2287,89029.9
3492762761,798,1048,570,2747,1235,422,4285,6441,3417,1356,5594,2602,3026,1888,3302,833,1665,3070,737,1664,1347,4463,1469,5101,3645,902,7033,7344,6042,4685,4820,271,461,637,2409,96532.4,1104,711,2419,1581,521,4165,7462,3446,1035,6120,2540,3162,2089,3507,782,1629,1535,835,2312,1327,4440,1210,5132,4216,761,8191,7850,5896,4306,4439,392,377,474,2560,98525.8
2839578952,800,998,490,2026,1285,403,2960,4511,2354,796,5029,2823,2849,2076,2767,730,1490,2470,755,1352,1499,4027,988,4697,3714,704,6039,7757,5390,3641,3386,150,455,392,2154,83157.9,831,780,2334,1394,278,2874,5199,2335,1042,4875,2384,2515,1794,3258,713,1655,1872,803,1472,1554,3857,1150,4812,3900,760,5353,7154,5464,3771,3961,220,338,354,2309,83364.4
1119666911,803,882,537,2457,1445,425,3652,4625,3109,985,4882,2446,3104,1610,3118,768,1259,1703,532,1446,1381,3584,1040,4159,3794,778,5331,6728,5080,3683,3871,166,479,418,2113,81592.3,847,683,1535,1587,321,3045,6378,2846,927,4959,2607,3017,1778,3260,720,1267,1386,851,1605,1427,3754,949,4404,3987,480,5765,6708,4770,3471,3465,241,490,288,2245,82065.2
277667235,805,988,697,2183,1435,326,3717,4957,3089,883,4849,2868,3337,2105,3014,758,1433,1518,661,1454,1632,4787,1070,5263,4007,1006,6974,7411,6254,3666,3914,247,445,420,2127,89497.1,1193,971,2203,1585,340,3272,5659,3111,930,4837,3206,3477,1758,3421,736,1573,1358,791,1316,1733,4983,1192,5343,4156,806,5850,7837,5756,3658,3804,257,428,346,1999,89886.3
1637311546,806,1072,750,2684,1110,315,3188,4470,3145,733,4267,2363,2465,2178,2917,763,1391,1641,633,1571,952,3968,1069,5330,3207,866,5825,6760,4995,3774,4212,224,407,452,2106,81804.7,1007,738,2124,1102,279,3007,5278,2933,713,3741,2885,2513,1893,3379,749,1464,1341,865,1354,1011,3910,1034,4971,3736,551,6177,8002,5410,3666,3743,329,383,330,2178,82793.3
